"id","key","query","name","description","created_at","updated_at","not_cacheable"
80,"all_biofuels_industry_final","DIVIDE(SUM(
V(INTERSECTION(SECTOR(industry),G(final_demand_cbs));input_of_biodiesel),
V(INTERSECTION(SECTOR(industry),G(final_demand_cbs));input_of_biofuel),
V(INTERSECTION(SECTOR(industry),G(final_demand_cbs));input_of_algae_diesel),
V(INTERSECTION(SECTOR(industry),G(final_demand_cbs));input_of_bio_ethanol)),BILLIONS)","","","2010-06-10 16:40:00","2010-06-10 16:40:00",0
81,"all_biofuels_transport_final","DIVIDE(SUM(
V(INTERSECTION(SECTOR(transport),G(final_demand_cbs));input_of_biodiesel),
V(INTERSECTION(SECTOR(transport),G(final_demand_cbs));input_of_biofuel),
V(INTERSECTION(SECTOR(transport),G(final_demand_cbs));input_of_algae_diesel),
V(INTERSECTION(SECTOR(transport),G(final_demand_cbs));input_of_bio_ethanol)),BILLIONS)","","","2010-06-10 16:40:19","2010-06-10 16:40:19",0
82,"all_biofuels_agriculture_final","DIVIDE(SUM(
V(INTERSECTION(SECTOR(agriculture),G(final_demand_cbs));input_of_biodiesel),
V(INTERSECTION(SECTOR(agriculture),G(final_demand_cbs));input_of_biofuel),
V(INTERSECTION(SECTOR(agriculture),G(final_demand_cbs));input_of_algae_diesel),
V(INTERSECTION(SECTOR(agriculture),G(final_demand_cbs));input_of_bio_ethanol)),BILLIONS)","","","2010-06-10 16:41:00","2010-06-10 16:41:00",0
83,"all_biofuels_other_final","DIVIDE(SUM(
V(INTERSECTION(SECTOR(other),G(final_demand_cbs));input_of_biodiesel),
V(INTERSECTION(SECTOR(other),G(final_demand_cbs));input_of_biofuel),
V(INTERSECTION(SECTOR(other),G(final_demand_cbs));input_of_algae_diesel),
V(INTERSECTION(SECTOR(other),G(final_demand_cbs));input_of_bio_ethanol)),BILLIONS)","","","2010-06-10 16:41:33","2010-06-10 16:41:33",0
84,"all_biofuels_households_final","DIVIDE(SUM(
V(INTERSECTION(SECTOR(households),G(final_demand_cbs));input_of_biodiesel),
V(INTERSECTION(SECTOR(households),G(final_demand_cbs));input_of_biofuel),
V(INTERSECTION(SECTOR(households),G(final_demand_cbs));input_of_algae_diesel),
V(INTERSECTION(SECTOR(households),G(final_demand_cbs));input_of_bio_ethanol)),BILLIONS)","","","2010-06-10 16:41:47","2010-06-10 16:41:47",0
85,"conventional_gas_use_for_micro_chp_output","SUM(
  DIVIDE(
    V( micro_chp_households_energetic; output_of_heat_carriers),
    V( gas_burner_other_other_energetic; useable_heat_output_conversion)
  ),
  DIVIDE(
    V( micro_chp_households_energetic; output_of_electricity),
    0.53
  )
)","","Used for the chart: Comparison of gas use from micro-chp versus conventional use. Attention: We use a fixed value for CCGT electricity conversion, which reflects the state of the art. Take care to change this to be more generic.","2010-06-11 09:26:25","2010-06-11 09:26:25",0
86,"coal_plants","V(
  coal_pwd_energy,
  coal_pwd_ccs_energy,
  coal_conv_energy,
  coal_lignite_energy,
  coal_oxyfuel_ccs_energy,
  coal_igcc_energy,
  coal_igcc_ccs_energy,
  coal_chp_energy
)","","","2010-06-11 12:01:10","2010-06-11 12:02:17",1
87,"oil_plants","V(oil_plant_energy)","","","2010-06-11 12:05:34","2010-06-11 12:05:34",1
88,"gas_plants","V(
  gas_conv_energy_energetic,
  gas_ccgt_energy,
  small_chp_industry_energetic,
  large_chp_industry_energetic,
  micro_chp_households_energetic
)
  ","","","2010-06-11 12:07:26","2010-06-11 12:07:26",1
89,"nuclear_plants","V(
  nuclear_iii_energy
)","","","2010-06-11 12:07:59","2010-06-11 12:07:59",1
90,"wind_plants","V(
  wind_inland_energy,
  wind_coastal_energy,
  wind_offshore_energy
)","","","2010-06-11 12:08:48","2010-06-11 12:08:48",1
91,"biomass_plants","V(
  co_firing_coal_energy,
  co_firing_gas_energy,
  biomass_chp_industry_energetic,
  bio_oil_chp_industry_energetic
)","","","2010-06-11 12:09:56","2010-06-11 14:07:12",1
92,"other_plants","V(
  waste_incinerator_energy_energetic,
  solar_pv_central_production_energy_energetic,
  solar_csp_energy,
  hydro_river_energy,
  hydro_mount_energy,
  geothermal_electricity_energy,
  blue_energy_energy,
  local_solar_pv_grid_connected_energy_energetic,
  local_solar_pv_not_grid_connected_energy_energetic
)","","","2010-06-11 12:14:07","2010-06-11 12:14:07",1
93,"industry_biomass_primary_demand","DIVIDE(SUM(
V(INTERSECTION(SECTOR(industry),G(final_demand_cbs));primary_demand_of_biomass),
V(INTERSECTION(SECTOR(energy),G(final_demand_cbs));primary_demand_of_biomass),
V(INTERSECTION(SECTOR(industry),G(final_demand_cbs));primary_demand_of_bio_oil),
V(INTERSECTION(SECTOR(energy),G(final_demand_cbs));primary_demand_of_bio_oil)

),BILLIONS)","","DIVIDE(SUM(V(INTERSECTION(SECTOR(industry),G(final_demand_cbs)),INTERSECTION(SECTOR(energy),G(final_demand_cbs));primary_demand_of_biomass)),BILLIONS)","2010-06-11 15:35:15","2010-06-14 20:57:52",0
94,"industry_oil_primary_demand","DIVIDE(SUM(V(INTERSECTION(SECTOR(industry),G(final_demand_cbs)),INTERSECTION(SECTOR(energy),G(final_demand_cbs));primary_demand_of_crude_oil)),BILLIONS)","","","2010-06-11 15:36:37","2010-06-11 15:36:37",0
95,"industry_uranium_primary_demand","DIVIDE(SUM(V(INTERSECTION(SECTOR(industry),G(final_demand_cbs)),INTERSECTION(SECTOR(energy),G(final_demand_cbs));primary_demand_of_uranium)),BILLIONS)","","","2010-06-11 15:37:11","2010-06-11 15:37:11",0
96,"industry_coal_primary_demand","DIVIDE(SUM(V(INTERSECTION(SECTOR(industry),G(final_demand_cbs)),INTERSECTION(SECTOR(energy),G(final_demand_cbs));primary_demand_of_coal)),BILLIONS)","","","2010-06-11 15:37:56","2010-06-11 15:37:56",0
97,"industry_lignite_primary_demand","DIVIDE(SUM(V(INTERSECTION(SECTOR(industry),G(final_demand_cbs)),INTERSECTION(SECTOR(energy),G(final_demand_cbs));primary_demand_of_lignite)),BILLIONS)","","","2010-06-11 15:39:03","2010-06-11 15:40:25",0
98,"industry_waste_primary_demand","DIVIDE(SUM(V(INTERSECTION(SECTOR(industry),G(final_demand_cbs)),INTERSECTION(SECTOR(energy),G(final_demand_cbs));primary_demand_of_waste)),BILLIONS)","","","2010-06-11 15:39:57","2010-06-11 15:39:57",0
99,"industry_greengas_primary_demand","DIVIDE(SUM(V(INTERSECTION(SECTOR(industry),G(final_demand_cbs)),INTERSECTION(SECTOR(energy),G(final_demand_cbs));primary_demand_of_greengas)),BILLIONS)","","","2010-06-11 15:44:07","2010-06-11 15:44:07",0
